AwayTeam,TotalMatches_Away,TotalWins_Away,TotalDraws_Away,TotalLosses_Away,TotalGoalsScored_Away,TotalGoalsConceded_Away,TotalGoalsScored_AwayTeam,TotalGoalsConceded_AwayTeam,GoalDifference_AwayTeam,TotalPoints_AwayTeam,TotalMatches_AwayTeam,WinRatio_AwayTeam,DrawRatio_AwayTeam,LossRatio_AwayTeam,AverageGoalsScored_AwayTeam,AverageGoalsConceded_AwayTeam,Ranking_AwayTeam,FormScore_AwayTeam
Paris SG,14,10,4,0,31,9,65,24,41,63,28,64.28571428571429,32.142857142857146,3.571428571428571,2.3214285714285716,0.8571428571428571,1,3
Brest,14,7,3,4,17,12,41,23,18,53,28,53.57142857142857,28.57142857142857,17.857142857142858,1.4642857142857142,0.8214285714285714,2,1
Monaco,14,8,4,2,32,25,53,38,15,52,28,53.57142857142857,25.0,21.428571428571427,1.8928571428571428,1.3571428571428572,3,7
Lille,14,3,7,4,14,17,42,25,17,49,28,46.42857142857143,35.714285714285715,17.857142857142858,1.5,0.8928571428571429,4,9
Nice,14,5,4,5,12,13,28,22,6,44,28,42.857142857142854,28.57142857142857,28.57142857142857,1.0,0.7857142857142857,5,5
Lens,14,5,4,5,15,14,37,30,7,43,28,42.857142857142854,25.0,32.142857142857146,1.3214285714285714,1.0714285714285714,6,7
Reims,14,5,4,5,20,21,35,36,-1,40,28,39.285714285714285,25.0,35.714285714285715,1.25,1.2857142857142858,7,7
Marseille,14,2,4,8,17,24,41,33,8,39,28,35.714285714285715,32.142857142857146,32.142857142857146,1.4642857142857142,1.1785714285714286,8,7
Rennes,14,3,6,5,12,16,40,34,6,39,28,35.714285714285715,32.142857142857146,32.142857142857146,1.4285714285714286,1.2142857142857142,9,7
Lyon,14,7,1,6,18,19,34,42,-8,38,28,39.285714285714285,17.857142857142858,42.857142857142854,1.2142857142857142,1.5,10,3
Toulouse,14,5,3,6,14,18,32,36,-4,33,28,28.57142857142857,32.142857142857146,39.285714285714285,1.1428571428571428,1.2857142857142858,11,7
Montpellier,13,5,1,7,16,20,35,40,-5,33,28,28.57142857142857,32.142857142857146,39.285714285714285,1.25,1.4285714285714286,12,3
Strasbourg,14,3,6,5,14,21,30,39,-9,33,28,28.57142857142857,32.142857142857146,39.285714285714285,1.0714285714285714,1.3928571428571428,13,7
Le Havre,15,1,8,6,13,22,27,36,-9,28,28,21.428571428571427,35.714285714285715,42.857142857142854,0.9642857142857143,1.2857142857142858,14,3
Nantes,13,5,1,7,11,20,27,45,-18,28,28,28.57142857142857,14.285714285714285,57.14285714285714,0.9642857142857143,1.6071428571428572,15,5
Lorient,14,3,4,7,16,28,35,52,-17,26,28,21.428571428571427,28.57142857142857,50.0,1.25,1.8571428571428572,16,5
Metz,15,4,2,9,16,29,28,48,-20,23,28,21.428571428571427,17.857142857142858,60.71428571428571,1.0,1.7142857142857142,17,1
Clermont,14,2,5,7,11,23,20,47,-27,21,28,14.285714285714285,32.142857142857146,53.57142857142857,0.7142857142857143,1.6785714285714286,18,1
