HomeTeam,TotalMatches_Home,TotalWins_Home,TotalDraws_Home,TotalLosses_Home,TotalGoalsScored_Home,TotalGoalsConceded_Home,TotalGoalsScored_HomeTeam,TotalGoalsConceded_HomeTeam,GoalDifference_HomeTeam,TotalPoints_HomeTeam,TotalMatches_HomeTeam,WinRatio_HomeTeam,DrawRatio_HomeTeam,LossRatio_HomeTeam,AverageGoalsScored_HomeTeam,AverageGoalsConceded_HomeTeam,Ranking_HomeTeam,FormScore_HomeTeam
Arsenal,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1
Liverpool,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11
Man City,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9
Tottenham,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15
Aston Villa,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11
Man United,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5
West Ham,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3
Newcastle,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5
Chelsea,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5
Brighton,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13
Wolves,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9
Bournemouth,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11
Fulham,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9
Everton,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5
Crystal Palace,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9
Brentford,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5
Nott'm Forest,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5
Luton,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7
Burnley,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13
Sheffield United,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13
